waktu_diambil,tahun,bulan,nama_provinsi,nama_kota,sandi,nama,asset,asd,kyd,Kredit yang Diberikan Tahun Sebelumnya,total_hutang,Total Hutang Tahun Sebelumnya,Laba (Rugi) Tahun-tahun Lalu Saat Ini,Laba (Rugi) Tahun-tahun Lalu Tahun Sebelumnya,laba_saat_ini,laba_tahun_lalu,npl_net,kpmm,kap,ppap,roa,cr,ldr,bopo,direksi,dewan_komisaris
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,600811-PT Bank Perekonomian Rakyat Barelang Mandiri,600811-PT Bank Perekonomian Rakyat Barelang Mandiri,266309684,288699298,200992305,221565124,247031874,266272004,4116142,8502167,1721668,485127,15.8,17.7,11.57,100,-0.83,7.1,78.6,103.78,"Jasan Teng, Joni",John Adam Holle
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,601269-PT BPR Lesca Dana Batam,601269-PT BPR Lesca Dana Batam,3539235,8414209,0,1728808,1193521,5400100,"-14,728,116","-14,261,755","-262,170","-60,636",0,409.81,0,0,19.1,1755.17,0,318.93,Ivan Adiyan Wijaya,"Lim David, LIM DICKY"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,601118-PT Bank Perekonomian Rakyat Dana Nusantara,601118-PT Bank Perekonomian Rakyat Dana Nusantara,1747748654,1661372455,1095955140,1212995456,1547607141,1476267312,159025562,150934826,9333851,9402656,3.01,33.55,2.52,100,3.24,25.98,65.2,74.59,"Winoto Sumitro, Iie Selamet, Frans Borgias","Adi Putra Hasan, Ardy John William, Markus, Soehartinah Widjaja"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,602072-PT Bank Perekonomian Rakyat Banda Raya,602072-PT Bank Perekonomian Rakyat Banda Raya,198955648,213476590,142305994,148126896,178290560,191266725,14176829,16174018,388259,"-64,153",8.3,34,6.83,100,0.63,7.18,80.06,95.39,"HASNUL KAMIN, ROMA ANDYKA","DANDUNG HANDOGO, WIRMAN, ASMAN ABNUR"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,600829-PT Bank Perekonomian Rakyat Pundi Masyarakat,600829-PT Bank Perekonomian Rakyat Pundi Masyarakat,43538005,43862253,25421692,30981601,32967186,33618842,1514578,645656,56241,644611,1.74,71.88,0.86,100,1.92,12.78,60.49,89.8,"GUNARTO, IRENE FRANSISCA MANIK","HERRY SUSANTO, DJOKO PUTRANTO, HERRY SUSANTO"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,602541-PT Bank Perekonomian Rakyat Dana Nagoya,602541-PT Bank Perekonomian Rakyat Dana Nagoya,301358670,239296528,196126423,187071794,275668749,214691255,12763916,11351652,926005,1253621,9.93,19.83,6.72,100,1.39,8.69,69.07,87.06,"Suadi Wenata, S.E., Toni Kiesethong, S.H., Merry","Kui Kiong, David Octarevia, KUI KIONG, KUI LIM"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,602598-PT. BPR Kepri Batam,602598-PT. BPR Kepri Batam,114783865,120155981,85169878,93215641,87974121,94462764,20259549,19402002,1390195,1131215,2.84,53.56,1.81,100,4.27,13.13,79.24,72.16,"MEDI, SUMINAH","ISKANDAR ITAN, SUHARTONO, PT. GRAHA CIPTA DANA, PT. PEMBANGUNAN KEPRI, SOEHARTINAH WIDJAJA, RUDI, ARDY JOHN WILLIAM, GUNAWAN KUSWANTO"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,602595-PT Bank Perekonomian Rakyat Danamas Simpan Pinjam,602595-PT Bank Perekonomian Rakyat Danamas Simpan Pinjam,385092350,375071173,244762915,262554338,340094192,334102034,31730992,27369864,1267166,1599275,3.71,32.29,2.25,100,2.01,8.4,65.29,83.13,"HUSIN, DJUNIWAN","ARDY JOHN WILLIAM, TJUI LENG, PT GRAHA CIPTA DANA"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,602558-PT Bank Perekonomian Rakyat LSE Manggala,602558-PT Bank Perekonomian Rakyat LSE Manggala,177956434,167245415,148752862,147739127,162654576,150912609,6601054,7192908,475804,1114898,6.97,23.78,5.85,100,2.42,5.64,86.52,83.58,"MUCHSIN LIDO, RENNY MARTINA","BAHARUM, MEI LING, BAHARUM, ANITA"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,602602-PT Bank Perekonomian Kintamas Mitra Dana,602602-PT Bank Perekonomian Kintamas Mitra Dana,177086195,172704386,140959295,138441806,160844827,156198534,11574617,11371146,766751,1234706,3.12,25.04,2.89,100,1.91,5.55,82.02,85.85,"ALIAS, MANGAINTUA GULTOM","RENY, SRI MULATI"
